scores,states
"[-1, -1, -1, 0.15983, -1, -1, -1]",202100000010000001000000000000000000000000
"[0.06056, 0.08621, 0.07638, 0.07705, 0.14368, 0.0738, 0.15353]",202100010010000001000000200000000000000000
"[0, 0, 0, 0.04318, 0.01994, 0.01994, 0]",202100010010002001000100200000000000000000
"[0, 0, 0.03437, 0, 0, 0, 0]",202100210110002001000100200000000000000000
"[-1, -1, 0, 0, 0, 0, 0]",212102210110002001000100200000000000000000
"[0, 0, 0, 0, 0.01785, 0, -0.42624]",202100010110002001000100200020000000000000
"[0, 0, 0, 0, 0, -1, 0]",212100010110002001000100200020000002000000
"[-1, -1, -1, -1, -1, -1, -1]",212100010110002001000100200020020000000000
"[-1, -1, -1, -1, -1, -1, -1]",212102010110002001000100200020000000000000
"[-1, -1, -1, 0.09606, -1, -1, -1]",002120000010000001000000000000000000000000
"[-1, -1, -1, 0.09989, -1, -1, -1]",002100200010000001000000000000000000000000
"[0.05746, 0.01726, 0, 0, 0, 0, 0]",220100221010001001000000200000010000000000
"[0.01785, 0, 0, 0, 0, 0, 0]",220100221010021101000000200000010000000000
"[0, 0.0119, 0, 0, 0, 0, 0]",220100221010021101000210200000010000000000
"[0.05158, 0.08788, 0.06464, 0.03764, 0.05987, 0.04184, 0.05872]",102100200010000001000000200000000000000000
"[0, 0.02321, 0, 0, 0, 0, 0]",102100220010001001000000200000000000000000
"[0, 0, 0, 0, 0, 0, 0.0119]",102100220010001001000200200010000000000000
"[0, 0, 0, 0.04416, 0, 0, 0]",102102220110001001000200200010000000000000
"[0.02886, 0, 0, 0, 0, 0, 0]",112122220110001001000200200010000000000000
"[0, 0.02321, -1, 0, 0, 0, 0]",112122220111001001000200200010000002000000
"[0, 0.01785, 0, 0, 0, 0, 0]",112122222111001011000200200010000002000000
"[0, 0, 0, 0, 0, 0.0119, 0]",112122222111001211000201200010000002000000
"[0, 0, 0, 0, 0, 0.0119, 0]",001100200010020002000000100000020000001000
"[-1, 0, 0, 0, 0, 0, 0]",011102200010020002000000100000020000001000
"[0, 0, -1, 0, 0, 0, 0]",110102020010202001000000000000000000000000
"[0, -1, 0, 0, 0, 0, 0]",112122222111201211100201200010000002000000
"[0, 0.0119, 0, 0, 0, 0, 0]",120100222010021102000210100010020001000000
"[0, 0.0119, 0, 0, 0, 0, 0]",120100222010021102000210100012020001001000
"[0, 0, 0.0119, 0, 0, 0, 0]",120110222010021102000210100012020001201000
"[0, 0, -1, 0, 0, 0, 0]",122110222011021102000210100012020001201000
"[0, 0, 0, 0, 0, 0.01785, 0]",100120200010000002000000100000020000001000
"[0.0119, 0, 0, 0, 0, 0, 0]",100120220010001002000000100000020000001000
"[-1, 0, 0, 0, 0, 0, 0]",110120220010001002000200100000020000001000
"[0, 0, 0, 0, 0, 0, 0.02321]",102100210010000001000000200000020000000000
"[0.02321, 0, 0, 0, 0, 0, 0]",102100210110002001000000200000020000000000
"[0, 0, 0, 0.0119, 0, 0, 0]",102100210110002001000200200010020000000000
"[0, -1, 0, 0, 0, 0, 0]",102100210110002011000200200010020002000000
"[0.0119, 0, 0, 0, 0, 0, 0]",102110210110002001000200200010020000002000
"[0, -1, 0, 0, 0, 0, 0]",102110210110002011000200200010020002002000
"[0, 0, 0.05386, 0, 0.03735, 0, 0]",102100210210000001000000200000000000000000
"[0.04187, 0, 0, 0.02235, 0, 0, 0]",102100210210002011000000200000000000000000
"[0, 0.03678, 0, 0, 0, 0, 0]",102100210210002011000200200010000000000000
"[0, 0, 0, 0, 0, 0, 0.0119]",122100210210002011000200200010000001000000
